"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.336629167E-1,-1.053808594E0,-8.849597168E-1,9.510173492E0,9.609217768E0
7.436839166E-1,-1.387764130E0,-8.086184692E-1,9.372759247E0,9.509383209E0
7.537049167E-1,-1.668280792E0,-6.396199036E-1,9.170080719E0,9.342518655E0
7.637249166E-1,-1.675765228E0,-6.486012268E-1,8.934320984E0,9.113230168E0
7.737459167E-1,-1.500928802E0,-9.380992126E-1,8.931327209E0,9.105021863E0
7.837669166E-1,-1.561103668E0,-1.431323547E0,9.178612976E0,9.419801905E0
7.937869166E-1,-1.467548218E0,-2.974913635E0,8.807983704E0,9.411927849E0
8.038079167E-1,-1.590292969E0,-2.384990387E0,9.243877258E0,9.678144328E0
8.138289166E-1,-1.769320679E0,-7.364685059E-1,1.028047165E1,1.045757997E1
8.238489167E-1,-2.035616913E0,4.873864746E-1,8.914113007E0,9.156565540E0
8.338697917E-1,-1.930685120E0,1.214723969E0,6.528074799E0,6.915118215E0
8.438907916E-1,-1.249751129E0,1.001866608E0,7.242688751E0,7.417692022E0
8.539107917E-1,-1.060095520E0,4.290078735E-1,8.340056763E0,8.418099374E0
8.639317916E-1,-9.683363342E-1,1.510359192E-1,8.962163086E0,9.015589514E0
8.739527917E-1,-1.104104004E0,4.165837097E-1,8.395441589E0,8.477973055E0
8.839727916E-1,-7.225474548E-1,3.236270142E-1,7.982600098E0,8.021764992E0
8.939937917E-1,1.264570312E0,1.319057007E0,6.944808197E0,7.181184467E0
9.040147916E-1,1.913171539E0,2.229164429E0,6.501130829E0,7.134010194E0
9.140347916E-1,1.377585297E0,2.238445129E0,7.061715088E0,7.534998197E0
9.240557917E-1,1.311273193E0,1.669777679E0,7.968379669E0,8.246373108E0
9.340767916E-1,1.466500397E0,1.293460236E0,9.020242310E0,9.229758075E0
9.440967917E-1,1.513502655E0,1.315464478E0,1.056038956E1,1.074909134E1
9.541177916E-1,1.165925446E0,1.636247406E0,1.353201004E1,1.368035027E1
9.641387917E-1,1.411265259E0,1.517843628E0,1.479388596E1,1.493835937E1
9.741587917E-1,2.157613220E0,7.496411133E-1,1.378124176E1,1.396924769E1
9.841797916E-1,2.165696411E0,5.942642212E-2,1.349698288E1,1.366975930E1
9.942007917E-1,1.559606781E0,-7.298822021E-1,1.379231873E1,1.389939413E1
1.004220792E0,1.104702759E0,-1.223256226E0,1.189905579E1,1.201267050E1
1.014241792E0,2.017803955E-1,-8.509803772E-1,1.115914444E1,1.119336355E1
1.024262792E0,-5.460644531E-1,-4.944218445E-1,1.122276215E1,1.124691200E1
1.034282792E0,-3.963757324E-1,-2.258802795E-1,1.052162018E1,1.053150639E1
1.044303792E0,-1.483415222E-1,2.092648315E-1,9.995464325E0,9.998755125E0
1.054324792E0,5.014572144E-2,4.475692749E-1,9.403744812E0,9.414523320E0
1.064344792E0,1.948947144E-1,6.846762085E-1,8.893306274E0,8.921752179E0
1.074365792E0,3.287164307E-1,1.039737854E0,8.418194275E0,8.488527796E0
1.084386792E0,3.730242920E-1,1.270857239E0,7.965236206E0,8.074602966E0
1.094406792E0,9.714797974E-2,1.239422607E0,7.750582581E0,7.849658366E0
1.104427792E0,-2.610571289E-1,1.097966766E0,7.849975891E0,7.930687444E0
1.114448792E0,-4.962181091E-1,9.425898743E-1,8.319250031E0,8.387170509E0
