"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.331229584E-1,1.800904999E0,-1.743574219E0,9.273964691E0,9.606754445E0
6.431429583E-1,6.061195679E0,3.715723114E0,9.989776154E0,1.226133430E1
6.531619583E-1,1.082653610E1,6.474935303E0,7.755073242E0,1.480810022E1
6.631809584E-1,1.425321030E1,1.020562729E1,1.203512283E1,2.126388990E1
6.731999583E-1,1.397853149E1,1.375833939E1,1.623643616E1,2.546199333E1
6.832189583E-1,1.190339676E1,1.564292038E1,1.674403061E1,2.582158735E1
6.932379584E-1,8.554411011E0,1.640618317E1,1.581730774E1,2.434189840E1
7.032569584E-1,4.495900726E0,1.756866577E1,1.444541061E1,2.318493106E1
7.132759583E-1,2.350112915E-2,1.974214600E1,1.141346558E1,2.280394872E1
7.232949584E-1,-1.394500122E0,2.119382721E1,9.875413971E0,2.342320950E1
7.333139584E-1,-1.356928253E0,2.083831650E1,1.013332764E1,2.321122611E1
7.433329583E-1,-5.697152710E-1,1.820065155E1,9.516460419E0,2.054632111E1
7.533519584E-1,-6.342311096E-1,1.380549133E1,7.870632935E0,1.590410962E1
7.633709584E-1,-1.255888367E0,8.741372223E0,5.442532196E0,1.037352402E1
7.733909583E-1,-1.295106812E0,4.207300873E0,3.035238190E0,5.347088288E0
7.834099584E-1,-5.364843750E-1,7.527845764E-1,6.262976074E-1,1.116579060E0
7.934289584E-1,1.843416595E0,-1.407672729E0,-1.608405304E0,2.822533415E0
8.034479583E-1,4.971761169E0,-2.330503693E0,-2.236948242E0,5.929046637E0
8.134669584E-1,7.806566162E0,-2.838397522E0,-2.108365631E0,8.569958073E0
8.234859584E-1,8.392298126E0,-3.383414154E0,-1.872306519E0,9.240329587E0
8.335049583E-1,5.892047424E0,-1.812281342E0,-1.475930786E-1,6.166228201E0
8.435239583E-1,2.974464569E0,-6.042933655E-1,1.371897125E0,3.330872508E0
8.535429584E-1,9.536668396E-1,-5.840853882E-1,1.497036896E0,1.868623999E0
8.635619583E-1,-1.267863464E-1,-1.369651794E-1,1.066083069E0,1.082297255E0
8.735809583E-1,8.217910767E-2,4.309538269E-1,7.015910339E-1,8.274687822E-1
8.835999584E-1,1.077160034E0,1.218915253E0,4.906796265E-1,1.699056982E0
8.936189583E-1,2.799029388E0,2.110610962E0,3.770658875E-1,3.525822292E0
9.036389583E-1,5.002597046E0,3.103346558E0,4.029620361E-1,5.900772446E0
9.136579584E-1,6.710844727E0,3.562591553E0,1.334624634E0,7.714189421E0
9.236769583E-1,7.549101563E0,3.048560486E0,3.194656677E0,8.745769647E0
9.336959583E-1,7.562274170E0,1.872456207E0,5.387147369E0,9.471823460E0
9.437149584E-1,7.764503632E0,8.400531006E-1,7.669750671E0,1.094615372E1
9.537339583E-1,8.126600647E0,3.972738647E-1,9.914033661E0,1.282526912E1
9.637529583E-1,9.319470062E0,-2.145039368E-1,1.115914444E1,1.454046212E1
9.737719584E-1,1.076142151E1,-3.281176758E-1,1.198243240E1,1.610883423E1
